date,pe_ratio
"May 4, 2017",22.28
"May 3, 2017",22.03
"May 2, 2017",22.24
"May 1, 2017",22.10
"April 28, 2017",22.25
"April 27, 2017",22.35
"April 26, 2017",22.10
"April 25, 2017",22.41
"April 24, 2017",22.26
"April 21, 2017",22.19
"April 20, 2017",22.13
"April 19, 2017",22.23
"April 18, 2017",22.21
"April 17, 2017",22.04
"April 13, 2017",21.82
"April 12, 2017",21.96
"April 11, 2017",21.88
"April 10, 2017",21.78
"April 7, 2017",21.72
"April 6, 2017",21.87
"April 5, 2017",21.82
"April 4, 2017",21.71
"April 3, 2017",21.72
"March 31, 2017",21.83
"March 30, 2017",23.13
"March 29, 2017",23.25
"March 28, 2017",23.25
"March 27, 2017",23.34
"March 24, 2017",23.40
"March 23, 2017",23.28
"March 22, 2017",23.34
"March 21, 2017",23.11
"March 20, 2017",22.76
"March 17, 2017",23.04
"March 16, 2017",22.91
"March 15, 2017",23.25
"March 14, 2017",22.90
"March 13, 2017",23.04
"March 10, 2017",22.87
"March 9, 2017",22.54
"March 8, 2017",22.57
"March 7, 2017",23.04
"March 6, 2017",23.12
"March 3, 2017",23.25
"March 2, 2017",23.62
"March 1, 2017",23.43
"Feb. 28, 2017",23.44
"Feb. 27, 2017",23.33
"Feb. 24, 2017",23.54
"Feb. 23, 2017",23.30
"Feb. 22, 2017",22.72
"Feb. 21, 2017",22.54
"Feb. 17, 2017",22.25
"Feb. 16, 2017",22.23
"Feb. 15, 2017",21.79
"Feb. 14, 2017",21.81
"Feb. 13, 2017",22.08
"Feb. 10, 2017",21.97
"Feb. 9, 2017",21.79
"Feb. 8, 2017",21.75
"Feb. 7, 2017",21.73
"Feb. 6, 2017",21.80
"Feb. 3, 2017",21.82
"Feb. 2, 2017",21.73
"Feb. 1, 2017",21.55
"Jan. 31, 2017",21.93
"Jan. 30, 2017",21.41
"Jan. 27, 2017",21.60
"Jan. 26, 2017",21.78
"Jan. 25, 2017",21.76
"Jan. 24, 2017",21.81
"Jan. 23, 2017",21.76
"Jan. 20, 2017",22.07
"Jan. 19, 2017",21.90
"Jan. 18, 2017",22.08
"Jan. 17, 2017",21.91
"Jan. 13, 2017",21.53
"Jan. 12, 2017",21.60
"Jan. 11, 2017",21.69
"Jan. 10, 2017",21.51
"Jan. 9, 2017",21.63
"Jan. 6, 2017",21.92
"Jan. 5, 2017",22.24
"Jan. 4, 2017",21.92
"Jan. 3, 2017",21.75
"Dec. 31, 2016",21.71
"Dec. 30, 2016",23.55
"Dec. 29, 2016",23.66
"Dec. 28, 2016",23.35
"Dec. 27, 2016",23.65
"Dec. 23, 2016",23.72
"Dec. 22, 2016",23.86
"Dec. 21, 2016",23.76
"Dec. 20, 2016",23.63
"Dec. 19, 2016",23.76
"Dec. 16, 2016",23.44
"Dec. 15, 2016",23.41
"Dec. 14, 2016",23.04
"Dec. 13, 2016",23.51
"Dec. 12, 2016",23.28
"Dec. 9, 2016",23.17
"Dec. 8, 2016",23.10
"Dec. 7, 2016",22.95
"Dec. 6, 2016",22.84
"Dec. 5, 2016",23.02
"Dec. 2, 2016",23.07
"Dec. 1, 2016",23.10
"Nov. 30, 2016",23.34
"Nov. 29, 2016",23.80
"Nov. 28, 2016",23.63
"Nov. 25, 2016",23.55
"Nov. 23, 2016",23.02
"Nov. 22, 2016",23.22
"Nov. 21, 2016",23.29
"Nov. 18, 2016",23.10
"Nov. 17, 2016",22.99
"Nov. 16, 2016",23.14
"Nov. 15, 2016",23.31
"Nov. 14, 2016",22.94
"Nov. 11, 2016",22.78
"Nov. 10, 2016",22.90
"Nov. 9, 2016",23.68
"Nov. 8, 2016",24.02
"Nov. 7, 2016",23.73
"Nov. 4, 2016",23.32
"Nov. 3, 2016",23.55
"Nov. 2, 2016",23.50
"Nov. 1, 2016",23.77
"Oct. 31, 2016",24.74
"Oct. 28, 2016",23.97
"Oct. 27, 2016",23.91
"Oct. 26, 2016",24.16
"Oct. 25, 2016",24.28
"Oct. 24, 2016",23.97
"Oct. 21, 2016",24.05
"Oct. 20, 2016",24.24
"Oct. 19, 2016",24.30
"Oct. 18, 2016",24.53
"Oct. 17, 2016",24.37
"Oct. 14, 2016",24.13
"Oct. 13, 2016",24.36
"Oct. 12, 2016",24.14
"Oct. 11, 2016",23.81
"Oct. 10, 2016",24.37
"Oct. 7, 2016",24.05
"Oct. 6, 2016",24.30
"Oct. 5, 2016",24.31
"Oct. 4, 2016",24.45
"Oct. 3, 2016",25.13
"Sept. 30, 2016",25.65
"Sept. 29, 2016",28.82
"Sept. 28, 2016",29.35
"Sept. 27, 2016",29.39
"Sept. 26, 2016",29.88
"Sept. 23, 2016",29.89
"Sept. 22, 2016",30.08
"Sept. 21, 2016",30.21
"Sept. 20, 2016",29.29
"Sept. 19, 2016",29.08
"Sept. 16, 2016",28.71
"Sept. 15, 2016",28.15
"Sept. 14, 2016",27.88
"Sept. 13, 2016",27.65
"Sept. 12, 2016",28.21
"Sept. 9, 2016",27.82
"Sept. 8, 2016",29.04
"Sept. 7, 2016",29.02
"Sept. 6, 2016",29.07
"Sept. 2, 2016",28.73
"Sept. 1, 2016",28.37
"Aug. 31, 2016",28.50
"Aug. 30, 2016",28.40
"Aug. 29, 2016",28.87
"Aug. 26, 2016",28.80
"Aug. 25, 2016",29.39
"Aug. 24, 2016",29.48
"Aug. 23, 2016",29.40
"Aug. 22, 2016",29.55
"Aug. 19, 2016",29.31
"Aug. 18, 2016",29.75
"Aug. 17, 2016",29.43
"Aug. 16, 2016",28.95
"Aug. 15, 2016",29.23
"Aug. 12, 2016",29.77
"Aug. 11, 2016",29.79
"Aug. 10, 2016",29.77
"Aug. 9, 2016",29.63
"Aug. 8, 2016",29.54
"Aug. 5, 2016",29.58
"Aug. 4, 2016",30.20
"Aug. 3, 2016",30.17
"Aug. 2, 2016",30.88
"Aug. 1, 2016",30.73
"July 29, 2016",30.55
"July 28, 2016",30.65
"July 27, 2016",30.31
"July 26, 2016",30.68
"July 25, 2016",31.01
"July 22, 2016",31.26
"July 21, 2016",30.87
"July 20, 2016",30.80
"July 19, 2016",31.01
"July 18, 2016",31.11
"July 15, 2016",31.07
"July 14, 2016",30.96
"July 13, 2016",31.02
"July 12, 2016",30.79
"July 11, 2016",31.04
"July 8, 2016",31.11
"July 7, 2016",31.00
"July 6, 2016",31.73
"July 5, 2016",31.87
"July 1, 2016",31.74
"June 30, 2016",31.57
