date,year_high
"Dec. 12, 2016",110.50
"Dec. 9, 2016",110.00
"Dec. 8, 2016",110.00
"Dec. 7, 2016",110.00
"Dec. 6, 2016",110.00
"Dec. 5, 2016",110.00
"Dec. 2, 2016",110.00
"Dec. 1, 2016",110.00
"Nov. 30, 2016",110.00
"Nov. 29, 2016",109.83
"Nov. 28, 2016",109.83
"Nov. 25, 2016",109.83
"Nov. 23, 2016",109.83
"Nov. 22, 2016",109.83
"Nov. 21, 2016",109.83
"Nov. 18, 2016",109.83
"Nov. 17, 2016",109.83
"Nov. 16, 2016",109.83
"Nov. 15, 2016",109.83
"Nov. 14, 2016",109.83
"Nov. 11, 2016",109.83
"Nov. 10, 2016",109.83
"Nov. 9, 2016",109.83
"Nov. 8, 2016",109.83
"Nov. 7, 2016",109.83
"Nov. 4, 2016",109.83
"Nov. 3, 2016",109.83
"Nov. 2, 2016",109.83
"Nov. 1, 2016",109.83
"Oct. 31, 2016",109.83
"Oct. 28, 2016",109.83
"Oct. 27, 2016",109.83
"Oct. 26, 2016",109.83
"Oct. 25, 2016",109.83
"Oct. 24, 2016",109.83
"Oct. 21, 2016",109.83
"Oct. 20, 2016",109.83
"Oct. 19, 2016",109.83
"Oct. 18, 2016",109.83
"Oct. 17, 2016",109.83
"Oct. 14, 2016",109.83
"Oct. 13, 2016",109.83
"Oct. 12, 2016",109.83
"Oct. 11, 2016",109.83
"Oct. 10, 2016",109.83
"Oct. 7, 2016",109.83
"Oct. 6, 2016",109.83
"Oct. 5, 2016",109.83
"Oct. 4, 2016",109.83
"Oct. 3, 2016",109.83
"Sept. 30, 2016",109.83
"Sept. 29, 2016",109.83
"Sept. 28, 2016",109.83
"Sept. 27, 2016",109.83
"Sept. 26, 2016",109.83
"Sept. 23, 2016",109.83
"Sept. 22, 2016",109.83
"Sept. 21, 2016",109.83
"Sept. 20, 2016",109.83
"Sept. 19, 2016",109.83
"Sept. 16, 2016",109.83
"Sept. 15, 2016",109.83
"Sept. 14, 2016",109.83
"Sept. 13, 2016",109.83
"Sept. 12, 2016",109.83
"Sept. 9, 2016",109.83
"Sept. 8, 2016",109.83
"Sept. 7, 2016",109.83
"Sept. 6, 2016",109.83
"Sept. 2, 2016",109.83
"Sept. 1, 2016",109.83
"Aug. 31, 2016",109.83
"Aug. 30, 2016",109.83
"Aug. 29, 2016",109.83
"Aug. 26, 2016",109.83
"Aug. 25, 2016",109.83
"Aug. 24, 2016",109.83
"Aug. 23, 2016",109.83
"Aug. 22, 2016",109.83
"Aug. 19, 2016",109.83
"Aug. 18, 2016",109.83
"Aug. 17, 2016",109.83
"Aug. 16, 2016",109.83
"Aug. 15, 2016",109.83
"Aug. 12, 2016",109.29
"Aug. 11, 2016",109.29
"Aug. 10, 2016",108.50
"Aug. 9, 2016",108.49
"Aug. 8, 2016",108.49
"Aug. 5, 2016",108.49
"Aug. 4, 2016",108.49
"Aug. 3, 2016",108.49
"Aug. 2, 2016",108.49
"Aug. 1, 2016",108.49
"July 29, 2016",108.49
"July 28, 2016",108.49
"July 27, 2016",108.49
"July 26, 2016",107.96
"July 25, 2016",107.07
"July 22, 2016",107.07
"July 21, 2016",107.07
"July 20, 2016",107.07
"July 19, 2016",107.07
"July 18, 2016",111.01
"July 15, 2016",111.47
"July 14, 2016",112.36
"July 13, 2016",112.36
"July 12, 2016",112.36
"July 11, 2016",112.36
"July 8, 2016",112.36
"July 7, 2016",112.36
"July 6, 2016",112.36
"July 5, 2016",112.36
"July 1, 2016",112.36
"June 30, 2016",112.36
"June 29, 2016",112.36
"June 28, 2016",112.48
"June 27, 2016",113.03
